,LocalCidade,LocalUF,RegiaoBrasil,PopEstimada_2018,PopCenso_2010,IDHM,ReceitasRealizadas_2014,DespesasEmpenhadas_2014,Pib_2014
430,SANTA TEREZINHA DO TOCANTINS,TO,N,2528,2474,0.637,8415,8618,10521.87
431,SAO BENTO DO TOCANTINS,TO,N,5256,4608,0.605,11246,11376,8602.09
432,SAO FELIX DO TOCANTINS,TO,N,1572,1437,0.574,8296,6954,9691.19
433,SAO MIGUEL DO TOCANTINS,TO,N,11967,10481,0.623,17608,15204,7030.51
434,SAO SALVADOR DO TOCANTINS,TO,N,3070,2910,0.605,10835,9640,9465.22
435,SAO SEBASTIAO DO TOCANTINS,TO,N,4757,4283,0.573,10085,9187,7976.98
436,SAO VALERIO DA NATIVIDADE,TO,N,4017,4383,0.643,11305,9697,21210.78
437,SILVANOPOLIS,TO,N,5378,5068,0.675,12828,11801,21783.94
438,SITIO NOVO DO TOCANTINS,TO,N,9078,9148,0.604,19791,19394,8065.0
439,SUCUPIRA,TO,N,1946,1742,0.667,8604,6834,28807.91
440,TAGUATINGA,TO,N,16538,15051,0.634,26633,23655,16436.58
441,TAIPAS DO TOCANTINS,TO,N,2131,1945,0.601,7321,6309,9919.59
442,TALISMA,TO,N,2773,2562,0.654,9737,9942,24209.26
443,PALMAS,TO,N,291855,228332,0.788,899887,788877,27135.06
444,TOCANTINIA,TO,N,7471,6736,0.589,16701,14886,8158.32
445,TOCANTINOPOLIS,TO,N,22896,22619,0.681,38593,34859,10487.43
446,TUPIRAMA,TO,N,1860,1574,0.67,8960,7818,26631.88
447,TUPIRATINS,TO,N,2613,2097,0.587,10165,9006,9949.71
448,WANDERLANDIA,TO,N,11631,10981,0.638,20873,18793,11982.44
449,XAMBIOA,TO,N,11561,11484,0.671,26729,28559,26729.4
450,ACAILANDIA,MA,NE,111757,104047,0.672,233714,233295,18483.99
451,AFONSO CUNHA,MA,NE,6469,5905,0.529,21030,18797,5710.57
452,AGUA DOCE DO MARANHAO,MA,NE,12488,11581,0.5,24991,23758,4847.65
453,ALCANTARA,MA,NE,22083,21851,0.573,36514,45739,4989.55
